id,threshold,text_pixels,context_pixels,mask_fill_ratio,refined_mask_fill_ratio,refined_mask_iou,refined_mask_precision,refined_mask_recall,expanded_mask_fill_ratio,expanded_mask_iou,expanded_mask_precision,expanded_mask_recall,refined_eroded_fill_ratio,refined_eroded_iou,refined_eroded_precision,refined_eroded_recall,refined_eroded_twice_fill_ratio,refined_eroded_twice_iou,refined_eroded_twice_precision,refined_eroded_twice_recall,refined_mask_fallback,pipeline_flat_background_used,legacy_fast_path,fixed_fast_path,legacy_outside_modified_ratio,fixed_outside_modified_ratio,pipeline_outside_modified_ratio,input_outside_mae,legacy_outside_mae,fixed_outside_mae,legacy_text_mae,fixed_text_mae,pipeline_outside_mae,pipeline_text_mae,legacy_context_psnr,fixed_context_psnr,pipeline_context_psnr,telea_r2_text_mae,telea_r2_context_psnr,telea_r3_text_mae,telea_r3_context_psnr,ns_r2_text_mae,ns_r2_context_psnr,ns_r3_text_mae,ns_r3_context_psnr,vertical_text_mae,vertical_context_psnr,vertical_telea_25_text_mae,vertical_telea_25_context_psnr,vertical_telea_50_text_mae,vertical_telea_50_context_psnr,vertical_telea_75_text_mae,vertical_telea_75_context_psnr,outside_mae_improvement,context_psnr_improvement
1365,48,5334,10164,0.524793,0.591204,0.697292,0.775503,0.873641,0.616686,0.724179,0.777441,0.913573,0.475895,0.678937,0.85032,0.771091,0.372786,0.616693,0.918448,0.652418,False,False,True,False,1.0,0.0,0.286749,1.220842,83.632439,1.220842,76.351959,17.07724,6.631677,22.162729,8.083968,22.688406,19.149299,18.767654,21.81438,18.392576,22.106692,18.765343,21.682984,18.537683,21.869689,16.831146,22.922728,17.088739,22.682388,16.338646,23.047561,16.258469,23.132623,82.411597,14.604438
1366,48,6134,11472,0.534693,0.547594,0.915754,0.944763,0.967558,0.564069,0.921787,0.934322,0.985654,0.449965,0.790742,0.966292,0.813172,0.352772,0.631048,0.973314,0.642158,False,False,True,False,0.999251,0.0,0.079056,0.556888,16.2579,0.556888,16.209162,5.10238,1.636256,15.912944,20.794952,30.178065,19.808345,5.21677,30.057211,5.134768,30.1987,5.274807,29.109848,5.235192,29.234629,5.907727,28.570957,5.086621,30.1839,5.209271,29.863606,5.48636,29.299957,15.701012,9.383113
1367,48,6476,11063,0.585375,0.70216,0.712225,0.762745,0.914917,0.716533,0.728222,0.765611,0.937153,0.599385,0.715576,0.824461,0.844194,0.501943,0.681907,0.878264,0.753088,False,False,True,False,0.999782,0.0,0.391977,0.75525,65.688393,0.75525,65.58992,16.806723,10.704673,20.232603,10.353322,21.230238,18.406276,17.791899,20.5021,17.364782,20.864995,17.675417,20.422223,17.434732,20.602729,18.120342,20.696365,16.799517,21.227312,16.771463,21.323796,17.198168,21.134117,64.933143,10.876916
1368,48,5796,11544,0.502079,0.566355,0.672407,0.758489,0.85559,0.595374,0.709486,0.765023,0.907177,0.472626,0.642628,0.806818,0.759489,0.384442,0.598064,0.863001,0.660801,False,False,True,False,1.0,0.0,0.278532,0.913419,72.942009,0.913419,76.38987,13.908213,5.280387,16.527433,8.914439,22.491376,20.58982,15.138717,21.108489,15.15919,21.358191,15.116862,21.149359,15.275017,21.156789,13.429089,23.909502,13.929952,22.482058,13.285484,23.422322,13.103578,23.95988,72.02859,13.576937
1369,48,5759,10780,0.53423,0.624675,0.766544,0.805019,0.941309,0.634508,0.779268,0.806725,0.958152,0.528479,0.786371,0.885203,0.875673,0.435343,0.74055,0.947582,0.772183,False,False,True,False,0.998407,0.0,0.258713,0.58813,13.060413,0.58813,11.180992,5.780749,2.286596,6.491405,21.543866,26.655831,26.193766,6.267292,25.568338,6.165422,25.966394,6.180934,25.220652,6.130115,25.380644,5.75916,27.902515,5.772182,26.650338,5.583782,27.241861,5.586329,27.675885,12.472283,5.111965
1370,48,5957,12075,0.493333,0.421781,0.734422,0.918712,0.785462,0.67528,0.730562,0.730562,1.0,0.331925,0.607258,0.939371,0.63203,0.249441,0.46361,0.943227,0.476918,False,False,True,False,1.0,0.0,0.355018,1.217282,47.720715,1.217282,33.071289,5.303397,2.024572,5.088971,12.234896,30.938129,30.624458,6.048962,29.256937,5.823793,29.636129,6.0202,29.291882,5.946785,29.431155,4.752616,32.53623,5.316546,30.922033,4.953053,32.014129,4.755134,32.634902,46.503433,18.703233
1371,48,6914,13572,0.509431,0.648173,0.653093,0.705581,0.897744,0.679561,0.676397,0.705953,0.941712,0.541925,0.665577,0.775255,0.824704,0.447686,0.648059,0.840685,0.738791,False,False,False,False,0.0,0.0,0.406579,0.914339,0.914339,0.914339,31.221146,29.868866,15.652748,33.438915,18.475396,18.922238,16.146779,31.221146,18.475396,30.513258,18.713694,30.861923,18.530957,30.56629,18.647684,33.154179,18.123136,29.871275,18.919934,30.170523,18.879945,31.279625,18.600902,0.0,0.446842
1372,48,7058,14036,0.50285,0.538045,0.650847,0.762712,0.816095,0.587347,0.699467,0.76395,0.892321,0.433956,0.603146,0.812182,0.700907,0.341835,0.529412,0.855356,0.581468,False,False,False,False,0.0,0.0,0.278876,1.090475,1.090475,1.090475,40.343155,39.097054,13.118229,42.276756,16.37054,16.774511,15.078437,40.343155,16.37054,39.345234,16.657787,41.312317,16.127768,40.432419,16.335512,46.568718,15.452995,39.098755,16.7738,40.49844,16.578624,43.053982,16.113726,0.0,0.403971
1373,48,9348,19480,0.479877,0.534548,0.897542,0.897628,0.999893,0.549127,0.873715,0.873796,0.999893,0.46576,0.824584,0.917558,0.890565,0.399538,0.721363,0.922395,0.767972,False,False,False,False,0.0,0.0,0.133241,0.926175,0.926175,0.926175,19.068607,18.937241,4.281057,23.407467,22.634962,22.922572,20.51357,19.068607,22.634962,18.876087,22.807947,19.757666,22.302364,19.637676,22.397309,24.603052,20.748079,18.930609,22.924787,20.040579,22.531366,22.005028,21.74532,0.0,0.28761
1374,48,6247,15264,0.409264,0.54206,0.619202,0.671139,0.888907,0.576389,0.635148,0.664242,0.935489,0.426035,0.569231,0.71121,0.740355,0.318462,0.482055,0.743263,0.578358,False,False,False,False,0.0,0.0,0.326383,1.476507,1.476507,1.476507,15.79905,15.96425,11.606004,21.60269,23.192623,23.308463,17.269608,15.79905,23.192623,15.633424,23.296031,16.112,23.117155,16.094179,23.161162,20.065525,21.294297,15.978069,23.305677,16.91025,22.904083,18.296089,22.187337,0.0,0.11584
1375,48,5907,13257,0.445576,0.504714,0.769879,0.819011,0.927713,0.529607,0.776312,0.804729,0.956492,0.414649,0.728927,0.874659,0.81395,0.333107,0.627463,0.901268,0.673777,False,False,False,False,0.0,0.0,0.185578,2.17229,2.17229,2.17229,16.406015,14.329044,3.545442,12.884713,22.855044,24.301163,23.546066,16.406015,22.855044,15.924609,23.163762,16.831669,22.639786,16.629873,22.755581,14.073021,24.933129,14.369675,24.285523,13.536257,25.098342,13.434175,25.345923,0.0,1.446119
1376,48,6866,15221,0.451087,0.517377,0.868078,0.869841,0.99767,0.525327,0.856822,0.857679,0.998835,0.439984,0.805752,0.903688,0.881445,0.366007,0.703932,0.922276,0.748325,False,False,True,False,1.0,0.0,0.135966,0.916697,19.972752,0.916697,13.759734,10.043742,2.30022,9.736382,20.489963,27.770845,27.390764,10.791873,26.955791,10.406107,27.338164,11.255171,26.51262,10.990096,26.758251,11.981066,26.54757,10.065735,27.751353,10.280804,27.736346,10.937324,27.298715,19.056055,7.280882
1377,48,8099,18696,0.433194,0.525513,0.824326,0.824326,1.0,0.538243,0.80483,0.80483,1.0,0.453787,0.785422,0.859854,0.900728,0.385911,0.712975,0.883437,0.787011,False,False,False,False,0.0,0.0,0.185241,0.695008,0.695008,0.695008,15.043504,14.613615,4.341889,18.036055,25.919193,26.236098,23.491271,15.043504,25.919193,14.674404,26.190574,15.069967,25.891767,14.892909,26.004963,19.665638,23.635821,14.610775,26.237516,15.617319,25.701716,17.370293,24.760383,0.0,0.316905
1378,48,5928,11664,0.50823,0.510374,0.893386,0.94171,0.945682,0.533693,0.891518,0.920161,0.966262,0.425154,0.770532,0.955435,0.799258,0.341135,0.628637,0.961045,0.645074,False,False,False,False,0.0,0.0,0.086297,0.83804,0.83804,0.83804,10.511865,9.797908,1.07049,10.3574,27.27094,27.98291,27.354449,10.511865,27.27094,10.52969,27.433059,11.033794,26.726004,11.219186,26.65237,9.867521,28.016377,9.791442,27.984543,9.451755,28.294485,9.495333,28.306447,0.0,0.71197
